8930
+Vehicle;assignments
car0;z22
car1;z6
car2;z21
car3;z20
car4;z10
car5;z18
car6;z19
car7;z5
car8;z4
car9;z3
car10;z8
car11;z12
car12;z14
car13;z17
+Assigned;requests
req0;car7
req2;car10
req4;car8
req5;car12
req6;car4
req7;car13
req8;car11
req9;car0
req10;car3
req12;car2
req13;car11
req15;car9
req16;car5
req17;car3
req18;car9
req20;car11
req21;car6
req22;car1
req23;car13
req24;car1
req25;car10
req26;car8
req27;car7
req28;car8
req29;car0
req30;car13
req31;car2
req33;car13
req35;car10
req37;car3
req38;car7
req39;car10
req40;car8
req42;car2
req43;car6
req44;car4
req45;car11
req46;car4
req47;car5
req48;car1
req49;car5
req50;car1
req51;car7
req52;car7
req54;car3
req55;car11
req56;car1
req57;car8
req58;car5
req59;car7
req61;car6
req63;car13
req64;car11
req65;car13
req66;car10
req67;car0
req68;car6
req70;car3
req71;car11
req72;car2
req73;car12
req74;car4
req75;car12
req76;car1
req78;car9
req79;car9
req81;car5
req83;car13
req84;car0
req85;car4
req86;car5
req87;car13
req91;car2
req92;car9
req94;car12
req96;car12
req97;car6
req98;car3
req99;car4
+Unassigned;requests
req1
req3
req11
req14
req19
req32
req34
req36
req41
req53
req60
req62
req69
req77
req80
req82
req88
req89
req90
req93
req95
