5850
+Vehicle;assignments
car0;z16
car1;z4
car2;z12
car3;z23
car4;z8
car5;z3
car6;z5
car7;z9
car8;z6
car9;z22
car10;z13
car11;z17
car12;z19
car13;z10
car14;z17
car15;z13
car16;z1
car17;z18
car18;z5
+Assigned;requests
req0;car18
req1;car14
req2;car16
req3;car16
req4;car2
req5;car5
req6;car8
req7;car10
req8;car2
req10;car14
req11;car15
req12;car5
req13;car16
req14;car17
req15;car14
req16;car8
req17;car11
req18;car2
req19;car17
req21;car0
req22;car9
req23;car14
req24;car12
req25;car7
req26;car0
req27;car7
req28;car6
req29;car18
req30;car15
req31;car13
req32;car9
req33;car16
req34;car17
req35;car11
req36;car2
req37;car12
req38;car3
req39;car15
req40;car4
req42;car6
req43;car11
req44;car10
req45;car8
req46;car5
req47;car4
req48;car14
req49;car2
req50;car12
req51;car4
req52;car18
req53;car9
req54;car1
req55;car8
req56;car0
req57;car15
req58;car5
req59;car3
req60;car2
req61;car8
req62;car13
req63;car0
req65;car8
req66;car11
req67;car13
req68;car17
req69;car15
req70;car9
req71;car1
req72;car3
req74;car12
req76;car11
req77;car15
req78;car10
req79;car16
req80;car13
req81;car11
req82;car6
req83;car14
req84;car6
req85;car1
req88;car18
req89;car5
req90;car18
req92;car3
req93;car6
req94;car7
req95;car6
req97;car9
req98;car0
req99;car5
+Unassigned;requests
req9
req20
req41
req64
req73
req75
req86
req87
req91
req96
