6305
+Vehicle;assignments
car0;z11
car1;z1
car2;z17
car3;z16
car4;z3
car5;z19
car6;z20
car7;z16
car8;z7
car9;z10
car10;z15
car11;z23
car12;z14
car13;z8
car14;z6
car15;z5
car16;z13
car17;z7
car18;z8
car19;z11
car20;z19
car21;z12
car22;z2
car23;z2
car24;z23
car25;z9
car26;z5
car27;z16
car28;z5
car29;z4
car30;z21
car31;z24
car32;z9
car33;z1
car34;z13
car35;z5
car36;z16
car37;z4
car38;z0
car39;z7
car40;z17
car41;z17
car42;z21
car43;z24
+Assigned;requests
req0;car9
req1;car33
req2;car30
req3;car41
req4;car10
req5;car37
req6;car24
req7;car12
req8;car21
req9;car35
req10;car37
req11;car31
req12;car4
req13;car1
req14;car6
req15;car23
req16;car11
req17;car18
req18;car11
req19;car13
req20;car18
req21;car27
req22;car41
req23;car13
req24;car20
req25;car30
req26;car19
req27;car7
req28;car7
req29;car42
req30;car39
req31;car0
req32;car22
req33;car22
req34;car30
req35;car11
req36;car35
req37;car0
req38;car16
req39;car23
req40;car2
req41;car31
req42;car14
req43;car30
req44;car4
req45;car7
req46;car8
req47;car13
req48;car25
req49;car39
req50;car11
req51;car32
req52;car18
req53;car30
req54;car15
req55;car26
req56;car36
req57;car14
req58;car38
req59;car43
req60;car34
req61;car32
req62;car39
req63;car29
req64;car21
req65;car23
req66;car42
req67;car8
req68;car11
req69;car12
req70;car27
req71;car8
req72;car38
req73;car1
req75;car28
req76;car28
req77;car26
req78;car5
req79;car26
req80;car10
req81;car14
req82;car29
req84;car5
req85;car9
req86;car40
req87;car17
req88;car35
req89;car3
req90;car29
req91;car37
req92;car7
req94;car36
req95;car40
req96;car2
req97;car14
req98;car13
req99;car41
req100;car41
req101;car32
req102;car32
req103;car9
req104;car38
req105;car22
req106;car23
req107;car11
req108;car12
req109;car27
req110;car34
req111;car37
req112;car14
req113;car3
req114;car27
req115;car5
req116;car15
req117;car42
req118;car21
req119;car39
req120;car35
req121;car22
req122;car4
req123;car0
req124;car39
req125;car9
req126;car6
req127;car9
req128;car36
req129;car5
req130;car33
req131;car20
req132;car6
req133;car39
req134;car1
req135;car33
req136;car1
req137;car31
req138;car16
req139;car24
req140;car3
req141;car35
req142;car6
req143;car19
req144;car21
req145;car16
req146;car31
req147;car11
req148;car2
req149;car15
req150;car10
req151;car20
req152;car12
req154;car25
req155;car40
req156;car35
req157;car42
req158;car26
req159;car8
req160;car22
req161;car42
req162;car17
req163;car40
req164;car15
req166;car2
req167;car31
req168;car19
req170;car10
req171;car34
req172;car21
req173;car19
req174;car32
req175;car16
req176;car17
req177;car3
req178;car23
req179;car5
req180;car1
req181;car38
req182;car38
req183;car33
req184;car5
req185;car34
req186;car8
req187;car18
req188;car36
req189;car43
req190;car33
req191;car43
req192;car36
req193;car4
req194;car25
req195;car2
req196;car34
req197;car41
req198;car26
req199;car10
req200;car42
req201;car16
req202;car25
req203;car17
req204;car14
req205;car31
req206;car40
req207;car17
req208;car4
req209;car9
+Unassigned;requests
req74
req83
req93
req153
req165
req169
