5615
+Vehicle;assignments
car0;z6
car1;z14
car2;z18
car3;z23
car4;z12
car5;z3
car6;z22
car7;z9
car8;z19
car9;z10
car10;z4
car11;z5
car12;z24
car13;z16
car14;z17
car15;z13
car16;z1
car17;z8
car18;z11
+Assigned;requests
req0;car9
req1;car14
req2;car0
req3;car16
req4;car13
req5;car5
req6;car0
req7;car15
req8;car4
req9;car12
req10;car14
req11;car15
req12;car17
req13;car16
req14;car12
req15;car14
req16;car18
req18;car4
req19;car12
req20;car6
req21;car13
req22;car14
req23;car3
req24;car2
req25;car7
req26;car18
req27;car7
req28;car0
req30;car15
req31;car9
req32;car3
req33;car16
req34;car2
req35;car6
req36;car4
req37;car8
req38;car3
req39;car15
req40;car1
req41;car8
req42;car11
req43;car6
req44;car1
req45;car0
req46;car5
req47;car17
req48;car14
req49;car4
req50;car8
req51;car17
req52;car0
req53;car13
req54;car10
req55;car11
req56;car13
req57;car15
req58;car15
req59;car3
req60;car4
req61;car0
req62;car6
req63;car6
req65;car11
req66;car13
req67;car9
req68;car2
req69;car15
req70;car14
req71;car10
req72;car6
req73;car2
req74;car12
req76;car18
req77;car1
req78;car17
req79;car16
req80;car18
req81;car6
req82;car0
req83;car14
req84;car9
req85;car10
req88;car16
req89;car5
req90;car11
req92;car3
req93;car18
req94;car7
req95;car11
req98;car4
req99;car5
+Unassigned;requests
req17
req29
req64
req75
req86
req87
req91
req96
req97
