4045
+Vehicle;assignments
car0;z5
car1;z7
car2;z18
car3;z16
car4;z21
car5;z19
car6;z14
car7;z5
car8;z9
car9;z10
car10;z16
car11;z13
car12;z15
car13;z1
car14;z7
car15;z2
car16;z24
car17;z23
car18;z3
car19;z1
car20;z5
car21;z12
car22;z19
car23;z16
car24;z1
car25;z4
car26;z6
car27;z16
car28;z4
car29;z0
car30;z21
car31;z13
car32;z11
car33;z5
car34;z2
car35;z9
car36;z20
car37;z16
car38;z23
car39;z7
car40;z8
car41;z17
car42;z17
car43;z24
+Assigned;requests
req0;car9
req1;car34
req2;car4
req3;car41
req4;car10
req5;car25
req6;car17
req7;car6
req8;car21
req9;car13
req10;car28
req11;car2
req12;car18
req13;car13
req14;car12
req15;car24
req16;car16
req17;car28
req18;car38
req19;car40
req20;car6
req21;car27
req22;car38
req23;car8
req24;car22
req25;car30
req26;car33
req27;car37
req28;car23
req29;car36
req30;car19
req31;car23
req32;car1
req33;car34
req34;car30
req35;car38
req36;car27
req37;car14
req38;car11
req39;car15
req40;car40
req41;car2
req42;car32
req43;car30
req44;car18
req45;car4
req46;car14
req47;car35
req48;car35
req49;car39
req50;car5
req51;car35
req52;car18
req53;car30
req54;car20
req55;car7
req56;car3
req57;car39
req58;car29
req59;car16
req60;car31
req61;car8
req62;car0
req63;car18
req64;car21
req65;car15
req66;car12
req67;car34
req68;car17
req69;car2
req70;car10
req71;car39
req72;car24
req73;car1
req74;car37
req75;car13
req76;car33
req77;car13
req78;car5
req79;car26
req80;car10
req81;car26
req82;car40
req83;car28
req84;car5
req85;car9
req86;car42
req87;car1
req88;car7
req89;car23
req90;car25
req91;car31
req92;car3
req93;car7
req94;car10
req95;car2
req96;car2
req97;car26
req98;car34
req99;car41
req100;car41
req101;car40
req102;car8
req103;car9
req104;car33
req105;car15
req106;car19
req107;car22
req108;car6
req109;car27
req110;car11
req111;car28
req112;car40
req113;car12
req114;car27
req115;car5
req116;car0
req117;car42
req118;car21
req119;car14
req120;car32
req121;car39
req122;car15
req123;car23
req124;car14
req125;car26
req126;car36
req127;car9
req128;car37
req129;car31
req130;car33
req131;car22
req132;car30
req133;car19
req134;car24
req135;car19
req136;car24
req137;car16
req138;car31
req139;car38
req140;car3
req141;car20
req142;car36
req143;car32
req144;car21
req145;car21
req146;car17
req147;car38
req148;car17
req149;car20
req150;car12
req151;car42
req152;car6
req153;car11
req154;car35
req155;car41
req156;car0
req157;car4
req158;car0
req159;car14
req160;car14
req161;car42
req162;car1
req163;car38
req164;car24
req166;car4
req167;car16
req168;car33
req169;car38
req170;car32
req171;car11
req172;car26
req173;car32
req174;car35
req175;car16
req176;car34
req177;car3
req178;car34
req179;car5
req180;car29
req181;car19
req182;car29
req183;car19
req184;car5
req185;car31
req186;car39
req187;car18
req188;car32
req189;car43
req190;car33
req191;car43
req192;car10
req193;car8
req194;car1
req195;car2
req196;car31
req197;car41
req198;car7
req199;car3
req200;car23
req201;car11
req202;car25
req203;car40
req204;car26
req205;car43
req206;car42
req207;car13
req208;car15
req209;car9
+Unassigned;requests
req165
