9940
+Vehicle;assignments
car0;z17
car1;z7
car2;z1
car3;z8
car4;z7
car5;z11
car6;z3
car7;z2
car8;z18
car9;z19
car10;z15
car11;z4
car12;z6
car13;z3
car14;z16
car15;z14
car16;z16
car17;z20
car18;z13
car19;z13
car20;z16
car21;z21
car22;z10
car23;z18
car24;z0
car25;z21
car26;z18
car27;z9
car28;z3
car29;z24
car30;z7
car31;z11
car32;z24
+Assigned;requests
req0;car22
req1;car0
req2;car15
req3;car10
req4;car15
req5;car21
req6;car3
req7;car32
req8;car12
req9;car30
req10;car16
req11;car32
req12;car6
req13;car1
req14;car17
req15;car22
req16;car25
req17;car28
req18;car1
req19;car28
req21;car31
req22;car29
req23;car3
req24;car4
req25;car1
req26;car20
req27;car4
req28;car21
req29;car4
req30;car27
req31;car23
req32;car16
req33;car13
req34;car16
req35;car24
req36;car14
req38;car29
req39;car8
req40;car21
req42;car29
req44;car3
req45;car32
req46;car14
req47;car11
req48;car31
req50;car19
req51;car15
req53;car28
req54;car17
req55;car0
req56;car16
req57;car11
req58;car27
req59;car2
req60;car24
req61;car25
req62;car20
req63;car9
req64;car11
req66;car26
req68;car29
req69;car29
req70;car23
req71;car21
req72;car25
req73;car16
req74;car28
req75;car1
req76;car17
req77;car10
req78;car25
req79;car5
req80;car29
req81;car14
req82;car14
req83;car19
req84;car13
req85;car31
req86;car1
req87;car8
req88;car10
req89;car4
req90;car12
req91;car17
req93;car28
req94;car30
req98;car26
req99;car3
req100;car27
req101;car9
req102;car9
req103;car7
req104;car8
req105;car29
req106;car30
req107;car25
req108;car28
req109;car22
req110;car32
req112;car4
req113;car8
req115;car16
req116;car7
req118;car6
req119;car17
req120;car18
req121;car0
req122;car7
req123;car5
req124;car7
req125;car27
req126;car13
req127;car6
req128;car21
req129;car2
req130;car25
req131;car20
req132;car28
req133;car19
req134;car13
req135;car8
req136;car1
req137;car9
req138;car19
req139;car8
req140;car2
req141;car10
req142;car22
req143;car10
req144;car2
req145;car23
req146;car1
req147;car22
req148;car3
req149;car12
req150;car6
req151;car15
req152;car4
req153;car20
req154;car12
req155;car11
req156;car12
req157;car0
req158;car15
req159;car32
req160;car28
req161;car32
req162;car24
req163;car5
req164;car24
req165;car26
req166;car6
req167;car0
req168;car2
req169;car7
req170;car24
req171;car9
req172;car26
req173;car24
req174;car8
req175;car0
req176;car5
req177;car31
req178;car17
req179;car19
req180;car27
req181;car26
req182;car13
req183;car13
req184;car10
req185;car23
req186;car18
req187;car11
req188;car18
req189;car14
req190;car27
req191;car26
req192;car18
req193;car20
req195;car31
req196;car6
req197;car23
req198;car9
req199;car18
req200;car30
req201;car13
req202;car14
req203;car5
req205;car15
req206;car15
req207;car14
req208;car26
req209;car30
+Unassigned;requests
req20
req37
req41
req43
req49
req52
req65
req67
req92
req95
req96
req97
req111
req114
req117
req194
req204
